gene	YAL030W	15	35	71	32	19	26	46	54	40	81	0
tRNA	tP(UGG)A	989	477	113	1372	927	182	856	3038	56	156	0
gene	YAL003W	682	439	1043	919	248	636	566	643	651	1257	163
gene	YAL001C	10	13	25	14	6	55	14	3	24	5	0
tRNA	tL(CAA)A	1327	751	203	2996	1310	1044	2850	4171	1498	215	85
gene	YBL111C	0	0	0	0	0	0	0	0	0	0	0
tRNA	tF(GAA)B	337	166	93	462	320	90	338	1205	185	45	0
gene	YBL091C-A	49	89	83	72	19	33	55	42	0	30	0
gene	YBL087C	174	130	289	177	51	257	108	176	271	545	234
gene	YBL059C-A	19	8	39	31	14	71	19	30	127	13	0
gene	YBL059W	23	98	34	21	28	33	46	126	28	26	0
gene	YBL050W	39	37	54	54	12	48	43	48	2	13	0
gene	YBL040C	135	208	97	184	81	95	121	117	51	53	0
gene	YBL027W	188	124	213	108	45	99	79	116	195	425	0
gene	YBL026W	37	62	109	60	27	143	68	108	57	25	0
gene	YBL018C	34	26	13	19	18	56	19	48	46	22	0
gene	YBR048W	78	109	170	116	87	37	81	199	152	911	0
gene	YBR062C	4	23	0	13	11	0	8	32	5	13	0
gene	YBR078W	638	346	1115	913	241	888	748	411	605	410	0
gene	YBR082C	83	64	44	134	33	20	90	75	157	208	0
gene	YBR084C-A	45	22	36	82	23	27	32	50	0	210	0
gene	YBR090C	322	513	286	403	163	45	420	337	92	112	14
gene	YBR111W-A	13	10	1	28	4	1	21	13	0	8	0
gene	YBR111W-A	1	5	0	5	6	53	20	16	26	9	0
gene	YBR119W	21	8	25	21	1	11	8	6	0	3	0
gene	YBR181C	324	211	105	284	99	2	244	236	141	242	0
gene	YBR186W	1	2	0	5	0	0	0	1	0	1	0
gene	YBR189W	390	562	594	563	290	472	315	795	286	1490	288
gene	YBR191W	123	97	230	94	37	161	60	124	345	314	127
gene	YBR215W	4	2	0	8	2	0	5	4	0	0	0
gene	YBR219C	13	11	46	32	12	82	24	17	20	14	0
gene	YBR230C	24	102	17	92	40	66	72	92	83	240	0
gene	YBR255C-A	26	53	72	36	5	29	10	13	0	8	0
tRNA	tL(CAA)C	18377	5370	9733	15441	5875	7329	12849	21201	9243	978	826
gene	YCL012C	21	26	21	32	5	32	16	18	22	26	0
gene	YCL005W-A	58	50	61	91	34	75	58	86	0	52	0
gene	YCL005W-A	31	56	149	64	25	74	64	77	120	189	0
gene	YCL002C	76	80	100	131	38	157	162	57	72	38	0
gene	YCR028C-A	40	57	82	56	23	72	76	79	66	132	0
gene	YCR031C	353	251	589	472	101	419	296	228	358	1195	0
tRNA	tS(CGA)C	1586	1081	1050	3106	1603	996	1806	5424	2323	270	0
gene	YCR097W	10	5	45	21	4	104	23	17	129	2	303
gene	YCR097W	3	5	2	4	3	0	11	16	0	7	0
gene	YDL219W	40	60	157	85	26	163	66	84	121	57	0
gene	YDL191W	154	217	345	193	83	354	177	267	347	697	0
gene	YDL136W	105	204	483	125	68	153	180	218	468	314	0
gene	YDL130W	520	747	513	601	250	595	329	457	192	3565	0
gene	YDL125C	99	148	261	204	50	152	97	86	224	133	0
gene	YDL115C	36	55	76	35	27	18	35	19	23	11	0
gene	YDL108W	13	20	51	12	11	3	11	23	25	3	0
gene	YDL083C	96	139	105	166	68	49	69	122	26	485	0
gene	YDL082W	226	125	388	212	76	391	125	147	250	174	56
gene	YDL079C	0	0	0	0	0	0	0	0	0	0	0
gene	YDL075W	117	182	148	208	114	364	198	332	527	753	0
gene	YDL064W	62	53	91	55	20	72	40	37	1	14	0
tRNA	tK(UUU)D	53	6	39	82	12	45	25	17	27	2	0
gene	YDL029W	147	115	204	276	50	117	164	86	225	56	36
gene	YDL012C	27	39	3	27	17	12	34	37	0	54	0
gene	YDR005C	29	23	20	46	12	2	23	15	9	19	0
gene	YDR025W	87	76	168	124	56	81	82	153	76	341	0
gene	YDR059C	12	4	12	13	3	17	15	10	0	17	0
gene	YDR064W	290	240	731	444	116	250	205	227	258	1130	342
gene	YDR092W	57	79	131	58	52	15	91	133	120	118	0
gene	YDR129C	105	90	18	111	34	14	66	60	29	40	0
gene	YDR139C	30	54	33	30	32	89	45	80	0	72	0
tRNA	tI(UAU)D	7028	2651	618	16041	7767	1101	16362	31960	1748	3080	7
tRNA	tY(GUA)D	1160	751	1374	1513	1084	239	1284	4255	259	163	0
gene	YDR305C	61	59	45	117	25	23	67	57	49	5	0
tRNA	tF(GAA)D	297	91	100	288	147	149	217	477	0	42	0
gene	YDR318W	28	14	44	17	12	32	27	22	25	4	0
gene	YDR367W	89	114	283	115	30	146	83	66	78	45	0
gene	YDR381W	421	855	675	503	322	154	281	343	73	193	0
gene	YDR381C-A	10	21	18	24	7	0	22	12	4	3	0
gene	YDR397C	46	39	53	40	17	109	24	44	1	35	0
gene	YDR424C	40	42	61	59	28	132	39	64	110	73	208
gene	YDR424C	19	52	94	39	29	62	40	46	53	44	0
gene	YDR447C	82	168	137	117	72	159	36	113	235	61	108
gene	YDR450W	242	258	500	199	85	244	146	175	157	854	533
gene	YDR471W	241	246	361	272	167	259	290	350	285	442	590
gene	YDR500C	1978	4486	7086	1982	1302	6789	2162	3879	10585	3394	600
tRNA	tL(CAA)D	1449	479	651	2466	997	649	2298	2731	776	150	0
gene	YDR535C	0	1	0	3	0	56	1	0	0	1	0
gene	YIL177C	2	4	4	3	0	1	0	2	5	3	0
gene	YIL156W-B	31	68	144	92	28	14	102	135	111	84	35
gene	YIL148W	269	324	421	365	133	582	408	439	639	1104	0
gene	YIL133C	678	506	513	540	266	164	208	342	177	584	0
gene	YIL111W	46	75	60	120	28	21	105	101	110	37	444
gene	YIL106W	107	71	106	111	24	14	63	40	63	4	192
gene	YIL073C	0	0	0	0	1	0	0	0	0	0	0
gene	YIL069C	126	155	227	196	85	110	133	272	58	304	0
gene	YIL052C	86	125	118	139	129	15	174	290	60	521	453
gene	YIL018W	1497	1231	1448	1267	518	633	603	1028	442	2322	0
gene	YIL004C	44	88	208	68	30	174	50	114	195	23	0
gene	YEL076C-A	8	2	0	10	1	13	3	2	0	3	0
gene	YEL012W	0	1	0	6	2	0	5	6	0	2	0
gene	YEL003W	11	30	185	26	17	54	30	58	55	14	0
gene	YER003C	31	37	4	34	9	0	12	23	13	51	0
gene	YER007C-A	11	30	15	24	9	0	17	61	15	37	0
